Date,v2_WE 16-03 B3,v3_WE 16-03 B3,v4_WE 16-03 B3,v2_WE 16-03 B3_lag1,v3_WE 16-03 B3_lag1,v4_WE 16-03 B3_lag1
2022-01-01,10.288028169014085,13.275211267605632,12.572042253521127,10.461928571428572,13.239071428571428,12.663
2022-01-02,10.012214285714286,13.280071428571429,12.49357142857143,10.288028169014085,13.275211267605632,12.572042253521127
2022-01-03,9.913758865248226,13.304326241134753,12.409290780141845,10.012214285714286,13.280071428571429,12.49357142857143
2022-01-04,9.751071428571429,13.344142857142858,12.313714285714287,9.913758865248226,13.304326241134753,12.409290780141845
2022-01-05,9.522661870503597,13.359064748201439,12.274964028776978,9.751071428571429,13.344142857142858,12.313714285714287
2022-01-06,9.403776223776223,13.411818181818182,12.275454545454545,9.522661870503597,13.359064748201439,12.274964028776978
2022-01-07,9.275928571428572,13.405857142857142,12.274857142857144,9.403776223776223,13.411818181818182,12.275454545454545
2022-01-08,9.05937062937063,13.315664335664337,12.183356643356644,9.275928571428572,13.405857142857142,12.274857142857144
2022-01-09,11.616879432624113,13.687659574468086,12.38695035460993,9.05937062937063,13.315664335664337,12.183356643356644
2022-01-10,11.252071428571428,13.48707142857143,12.185,11.616879432624113,13.687659574468086,12.38695035460993
2022-01-11,11.032283464566929,13.502204724409449,12.155905511811023,11.252071428571428,13.48707142857143,12.185
2022-01-12,10.90055944055944,13.520979020979022,12.17006993006993,11.032283464566929,13.502204724409449,12.155905511811023
2022-01-13,10.73127659574468,13.505390070921985,12.14468085106383,10.90055944055944,13.520979020979022,12.17006993006993
2022-01-14,10.5125,13.491900000000001,12.1318,10.73127659574468,13.505390070921985,12.14468085106383
2022-01-15,10.304468085106384,13.435460992907801,12.061489361702128,10.5125,13.491900000000001,12.1318
2022-01-16,10.210563380281691,13.429577464788732,12.035281690140845,10.304468085106384,13.435460992907801,12.061489361702128
2022-01-17,10.063529411764707,13.403529411764707,12.048529411764704,10.210563380281691,13.429577464788732,12.035281690140845
2022-01-18,9.972785714285715,13.375357142857142,12.008,10.063529411764707,13.403529411764707,12.048529411764704
2022-01-19,19.326524822695035,14.868014184397163,12.120709219858156,9.972785714285715,13.375357142857142,12.008
2022-01-20,21.50041958041958,14.554545454545456,11.836783216783218,19.326524822695035,14.868014184397163,12.120709219858156
